Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Day,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2181280,418241,442351,2,Leeds 2016,08/01/2016,Friday,1905,A,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Serious,Male,38,Motorcycle over 500cc
2191037,424993,432898,2,Leeds 2016,09/01/2016,Saturday,1615,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,50,Car
2CQ0870,431159,436397,2,Leeds 2016,15/01/2016,Friday,1645,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,26,Car
2CQ0870,431159,436397,2,Leeds 2016,15/01/2016,Friday,1645,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,22,Car
3111091,439313,432376,2,Leeds 2016,01/01/2016,Friday,956,A,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Male,57,Pedal cycle
3111178,426994,439957,2,Leeds 2016,01/01/2016,Friday,1115,A,Dry,Daylight street lights present,Fine without high winds,Driver,Serious,Male,59,Pedal cycle
3111395,427813,431257,1,Leeds 2016,01/01/2016,Friday,1352,Motorway,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Serious,Female,53,Car
3111981,431496,432727,2,Leeds 2016,01/01/2016,Friday,2015,Unclassified,Wet or Damp,Darkness street lights present and lit,Raining without high winds,Passenger,Slight,Female,22,Car
3120560,431880,430498,2,Leeds 2016,02/01/2016,Saturday,1110,Motorway,Wet or Damp,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
3120872,429425,433999,1,Leeds 2016,02/01/2016,Saturday,1638,A(M),Wet or Damp,Darkness street lights present and lit,Raining without high winds,Driver,Slight,Male,22,Car
3120872,429425,433999,1,Leeds 2016,02/01/2016,Saturday,1638,A(M),Wet or Damp,Darkness street lights present and lit,Raining without high winds,Passenger,Slight,Female,26,Car
3130442,435325,433760,5,Leeds 2016,03/01/2016,Sunday,1150,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,35,Car
3130442,435325,433760,5,Leeds 2016,03/01/2016,Sunday,1150,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Slight,Female,21,Car
